"Id","NomDeNaissance","Prenom","Sexe","DateDeNaissance","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","TypeFonction","DateDebutFonction","DateFinFonction","MotifFinFonction","Mandature","NuancePolitique","NomTerritoire","TypeTerritoire"
"018","GUIS","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1967-06-01,NA,"M",1965-03-14,1967-06-01,NA,1965,NA,"BOUC BEL AIR","Commune"
"019","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,NA,"CABRIES","Commune"
"048","NILES","MAURICE","M",1919-09-12,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"PCF","DRANCY","Commune"
"050","EMIN","LEON","M",1903-07-11,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,NA,"OYONNAX","Commune"
"051","SUMEIRE","FERNAND","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,NA,"PENNES MIRABEAU","Commune"
"022","RIEUBON","RENE","M",1918-03-04,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"PCF","PORT DE BOUC","Commune"
"074","DESPIERRE","RENE","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1970-11-15,1971-03-10,"FM",1965,NA,"SAINT GENIS POUILLY","Commune"
"023","GRILLET","ARISTIDE","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1970-11-01,"DC","M",1965-03-14,1970-11-01,"DC",1965,NA,"SAINT GENIS POUILLY","Commune"
"075","ANDRE","JEAN","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,NA,"TARASCON","Commune"
"024","COUTROT","MAURICE","M",1907-12-03,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","BONDY","Commune"
"052","MEIFFRE","JEAN CHARLES","M",1908-04-18,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"RAD","MIRIBEL","Commune"
"076","COMBIER","PAUL","M",1933-01-01,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","AMBERIEU EN BUGEY","Commune"
"053","MAZUE","MAURICE ANDRE GUILLAUME","M",1911-02-24,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","LONGVIC","Commune"
"054","REMOND","ROGER","M",1925-02-04,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","QUETIGNY","Commune"
"028","GRAILLE","JEAN","M",1907-05-18,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","LA CIOTAT","Commune"
"029","DEFFERRE","GASTON","M",1910-09-14,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","MARSEILLE","Commune"
"031","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","SAINT MARTIN DE CRAU","Commune"
"058","CADOT","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","AULNAY SOUS BOIS","Commune"
"077","MARCHELART","GERARD","M",1928-01-01,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1967-01-12,1971-03-10,NA,1965,"SOC","ROMAINVILLE","Commune"
"033","KERAUTRET","PIERRE","M",NA,"CONSEILLER MUNICIPAL",1965-03-14,1967-01-11,"DC","M",1965-03-14,1967-01-11,"DC",1965,"SOC","ROMAINVILLE","Commune"
"056","TOUTAIN","ANDRE","M",1905-03-01,"CONSEILLER MUNICIPAL",1965-03-14,1971-03-10,"FM","M",1965-03-14,1971-03-10,"FM",1965,"SOC","SEVRAN","Commune"
"078","CICCOLINI","FELIX","M",1916-10-02,"CONSEILLER MUNICIPAL",1967-01-27,1971-03-10,"FM","M",1967-01-27,1971-03-10,"FM",1965,"SOC","AIX EN PROVENCE","Commune"
"079","VEILLET","JEAN","M",1901-05-14,"CONSEILLER MUNICIPAL",1968-04-25,1971-03-10,"FM","M",1968-04-25,1971-03-10,"FM",1965,"CNI","DIJON","Commune"
"080","MEYLAN","PASCAL","M",1935-05-01,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"CDP","FERNEY VOLTAIRE","Commune"
"002","FROUSSART","JEAN","M",1908-05-16,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-13,1977-03-10,"FM",1971,"CENTRE","CHEVIGNY SAINT SAUVEUR","Commune"
"071","BARBEROT","PAUL","M",1915-10-26,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"CNI","BOURG EN BRESSE","Commune"
"081","PERROT","JACQUES","M",1926-09-01,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"COM","ARLES","Commune"
"082","MARTIN","LUCIENNE","F",1937-01-01,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1973-02-01,1977-03-10,"FM",1971,"COM","AURIOL","Commune"
"004","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"COM","BERRE L ETANG","Commune"
"059","LOMBARD","PAUL","M",1927-12-15,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"COM","MARTIGUES","Commune"
"083","BENDER","ALFRED","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1973-06-01,1977-03-10,"FM",1971,"COM","PENNES MIRABEAU","Commune"
"005","KARMAN","ANDRE","M",1924-03-10,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"COM","AUBERVILLIERS","Commune"
"084","BALLANGER","ROBERT","M",1912-11-02,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"COM","AULNAY SOUS BOIS","Commune"
"085","MARSON","JAMES","M",1926-11-01,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1973-03-13,1977-03-10,"FM",1971,"COM","LA COURNEUVE","Commune"
"043","HOUDREMONT","JEAN","M",1924-10-04,"CONSEILLER MUNICIPAL",1971-03-14,1973-01-25,"DC","M",1971-03-14,1973-01-25,"DC",1971,"COM","LA COURNEUVE","Commune"
"086","DUFRICHE","MARCEL","M",1911-10-16,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"COM","MONTREUIL","Commune"
"061","LAINAT","FERNAND","M",1924-11-01,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"COM","PANTIN","Commune"
"062","DECHAMPS","ANDRE","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"COM","CLICHY SOUS BOIS","Commune"
"087","POUJADE","ROBERT","M",1928-05-06,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DROITE","DIJON","Commune"
"009","DELEUIL","LAURENS","M",1918-11-08,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DVD","MARIGNANE","Commune"
"063","HOUYOUX","MAURICE","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DVD","LE BOURGET","Commune"
"064","SERELLE","MARIUS","M",1905-09-07,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DVD","NOISY LE GRAND","Commune"
"065","DOUDEY","LUCIEN","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1976-01-01,"DC","M",1971-03-14,1976-01-01,"DC",1971,"DVD","RAINCY","Commune"
"088","BUY","ANTOINE","M",1907-08-22,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DVG","AMBERIEU EN BUGEY","Commune"
"012","CADOZ","MARIUS","M",1914-12-30,"CONSEILLER MUNICIPAL",1971-03-14,1976-01-01,"DC","M",1971-03-14,1976-01-01,"DC",1971,"DVG","GEX","Commune"
"089","BILLANDON","CHARLES","M",1921-12-24,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DVG","MIRIBEL","Commune"
"090","JACQUES","PIERRE","M",1910-10-18,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DVG","FONTAINE LES DIJON","Commune"
"066","GISCLON","JOFFRE","M",1915-04-14,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DVG","TALANT","Commune"
"091","VULLIOD","CHARLES","M",1909-01-09,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"DVG","BELLEY","Commune"
"067","GARCIN","EDMOND","M",1917-04-24,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"PCF","AUBAGNE","Commune"
"068","MOINE","HENRI","M",1921-03-22,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"RPR","BEAUNE","Commune"
"070","VALBON","GEORGES","M",1924-08-08,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"PCF","BOBIGNY","Commune"
"072","FERAUD","PAUL","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1972-06-01,"DM","M",1971-03-14,1972-06-01,"DM",1971,NA,"AURIOL","Commune"
"019","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,NA,"CABRIES","Commune"
"048","NILES","MAURICE","M",1919-09-12,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"PCF","DRANCY","Commune"
"050","EMIN","LEON","M",1903-07-11,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,NA,"OYONNAX","Commune"
"051","SUMEIRE","FERNAND","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1973-06-01,NA,1971,NA,"PENNES MIRABEAU","Commune"
"022","RIEUBON","RENE","M",1918-03-04,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"PCF","PORT DE BOUC","Commune"
"092","BLAISON","PIERRE","M",1903-06-28,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,NA,"SAINT GENIS POUILLY","Commune"
"024","COUTROT","MAURICE","M",1907-12-03,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","BONDY","Commune"
"093","BERTHELOT","MARCELIN","M",1927-10-09,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"PCF","SAINT DENIS","Commune"
"003","ANTHONIOZ","MARCEL","M",1911-04-26,"CONSEILLER MUNICIPAL",1971-03-14,1976-08-31,"FM","M",1971-03-14,1976-08-31,"DC",1971,"CNI","DIVONNE LES BAINS","Commune"
"094","PROST","JEAN","M",1925-10-26,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1976-10-17,1977-03-10,"FM",1971,NA,"DIVONNE LES BAINS","Commune"
"095","SUREAU","HENRI","M",1909-03-02,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,NA,"CHENOVE","Commune"
"054","REMOND","ROGER","M",1925-02-04,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-13,1977-03-10,"FM",1971,"SOC","QUETIGNY","Commune"
"053","MAZUE","MAURICE ANDRE GUILLAUME","M",1911-02-24,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","LONGVIC","Commune"
"078","CICCOLINI","FELIX","M",1916-10-02,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","AIX EN PROVENCE","Commune"
"096","GABELIER","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1975-12-01,1977-03-10,"FM",1971,"SOC","BOUC BEL AIR","Commune"
"097","NAL","ELIE","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1975-11-01,NA,1971,"SOC","BOUC BEL AIR","Commune"
"028","GRAILLE","JEAN","M",1907-05-18,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","LA CIOTAT","Commune"
"029","DEFFERRE","GASTON","M",1910-09-14,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","MARSEILLE","Commune"
"031","BAGNANINCHI","JOSEPH","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","SAINT MARTIN DE CRAU","Commune"
"098","SAINT MICHEL","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","TARASCON","Commune"
"077","MARCHELART","GERARD","M",1928-01-01,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","ROMAINVILLE","Commune"
"056","TOUTAIN","ANDRE","M",1905-03-01,"CONSEILLER MUNICIPAL",1971-03-14,1977-03-10,"FM","M",1971-03-14,1977-03-10,"FM",1971,"SOC","SEVRAN","Commune"
"094","PROST","JEAN","M",1925-10-26,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"CENTRE","DIVONNE LES BAINS","Commune"
"080","MEYLAN","PASCAL","M",1935-05-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"CENTRE","FERNEY VOLTAIRE","Commune"
"099","CHAVANNE","GUY","M",1935-04-21,"CONSEILLER MUNICIPAL",1977-03-13,1982-01-01,"DM","M",1977-03-13,1982-01-01,NA,1977,"COM","OYONNAX","Commune"
"100","SUBTIL","ROBERT","M",1884-03-14,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1982-02-01,1983-03-01,"FM",1977,"COM","OYONNAX","Commune"
"081","PERROT","JACQUES","M",1926-09-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","ARLES","Commune"
"082","MARTIN","LUCIENNE","F",1937-01-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","AURIOL","Commune"
"004","MARTIN","ROGER","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","BERRE L ETANG","Commune"
"101","ROMAND","GEORGES","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1979-05-01,NA,"M",1977-03-13,1979-05-01,NA,1977,"COM","LA CIOTAT","Commune"
"102","PERRIMOND","LOUIS","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1979-06-13,1983-03-01,"FM",1977,"COM","LA CIOTAT","Commune"
"059","LOMBARD","PAUL","M",1927-12-15,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","MARTIGUES","Commune"
"005","KARMAN","ANDRE","M",1924-03-10,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","AUBERVILLIERS","Commune"
"103","THOMAS","PIERRE","M",1929-01-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1978-01-01,1983-03-01,"FM",1977,"COM","AULNAY SOUS BOIS","Commune"
"085","MARSON","JAMES","M",1926-11-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","LA COURNEUVE","Commune"
"086","DUFRICHE","MARCEL","M",1911-10-16,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","MONTREUIL","Commune"
"104","ISABET","JACQUES","M",1939-07-10,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","PANTIN","Commune"
"105","CLEMENT","ROBERT","M",1939-01-18,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1980-03-15,1983-03-01,NA,1977,"COM","ROMAINVILLE","Commune"
"106","VERGNAUD","BERNARD","M",1932-01-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","SEVRAN","Commune"
"062","DECHAMPS","ANDRE","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"COM","CLICHY SOUS BOIS","Commune"
"087","POUJADE","ROBERT","M",1928-05-06,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"DROITE","DIJON","Commune"
"107","MARCELPOIL","ROBERT","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"DVD","AMBERIEU EN BUGEY","Commune"
"009","DELEUIL","LAURENS","M",1918-11-08,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"DVD","MARIGNANE","Commune"
"108","CADOT","ANDRE","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"DVD","LE BOURGET","Commune"
"109","MEGE","RAYMOND","M",1919-01-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"DVD","RAINCY","Commune"
"089","BILLANDON","CHARLES","M",1921-12-24,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"DVG","MIRIBEL","Commune"
"067","GARCIN","EDMOND","M",1917-04-24,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"PCF","AUBAGNE","Commune"
"068","MOINE","HENRI","M",1921-03-22,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"RPR","BEAUNE","Commune"
"070","VALBON","GEORGES","M",1924-08-08,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"PCF","BOBIGNY","Commune"
"019","MARTIN","RAYMOND","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,NA,"CABRIES","Commune"
"048","NILES","MAURICE","M",1919-09-12,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"PCF","DRANCY","Commune"
"110","BOURGOIN","GEORGES","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,NA,"FONTAINE LES DIJON","Commune"
"111","ANDRE","RENE","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1976-02-01,1983-03-01,"FM",1977,NA,"GEX","Commune"
"112","GOUTMANN","MARIE THERESE","F",1933-08-29,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"PCF","NOISY LE GRAND","Commune"
"022","RIEUBON","RENE","M",1918-03-04,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"PCF","PORT DE BOUC","Commune"
"113","DURET","LUCIENNE","F",1922-02-22,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,NA,"SAINT GENIS POUILLY","Commune"
"114","RASERA","MICHEL","M",1947-05-30,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"PS","CHEVIGNY SAINT SAUVEUR","Commune"
"115","ROBIN ","LOUIS","M",1923-05-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"PS","BOURG EN BRESSE","Commune"
"093","BERTHELOT","MARCELIN","M",1927-10-09,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"PCF","SAINT DENIS","Commune"
"116","CARRAZ","ROLAND","M",1943-05-18,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"SOC","CHENOVE","Commune"
"053","MAZUE","MAURICE ANDRE GUILLAUME","M",1911-02-24,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"SOC","LONGVIC","Commune"
"054","REMOND","ROGER","M",1925-02-04,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"SOC","QUETIGNY","Commune"
"117","HOUELLE","MICHEL","M",1933-08-09,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"SOC","TALANT","Commune"
"096","GABELIER","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"SOC","BOUC BEL AIR","Commune"
"029","DEFFERRE","GASTON","M",1910-09-14,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"SOC","MARSEILLE","Commune"
"118","MELLAN","VICTOR","M",1923-08-26,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"SOC","PENNES MIRABEAU","Commune"
"119","VULPIAN","CLAUDE","M",1936-11-22,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"SOC","SAINT MARTIN DE CRAU","Commune"
"098","SAINT MICHEL","ANTONIN","M",NA,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"SOC","TARASCON","Commune"
"120","FUZIER","CLAUDE","M",1924-06-02,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1983-03-01,"FM",1977,"SOC","BONDY","Commune"
"077","MARCHELART","GERARD","M",1928-01-01,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-01,"FM","M",1977-03-13,1980-03-10,"DM",1977,"SOC","ROMAINVILLE","Commune"
"121","MILLON","CHARLES","M",1945-11-12,"CONSEILLER MUNICIPAL",1977-03-13,1983-03-05,"FM","M",1977-03-13,1983-03-05,"FM",1977,"UDF","BELLEY","Commune"
