"Elu_IdIndividu","NomDeNaissance","Prenom","Sexe","DateNaissance","DateDeces","TypeMandat","DateDebutMandat","DateFinMandat","MotifFinMandat","Serie","CodeTerritoire","NomTerritoire"
"RNE_0000161","ALFONSI","NICOLAS","M",1936-04-13,2020-03-16,"SENATEUR",2001-12-02,2008-09-20,"FM","a","2A","CORSE SUD"
"RNE_0000161","ALFONSI","NICOLAS","M",1936-04-13,2020-03-16,"SENATEUR",2001-12-02,2008-09-20,"FM","a","2A","CORSE SUD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000161","ALFONSI","NICOLAS","M",1936-04-13,2020-03-16,"SENATEUR",2008-09-21,2014-09-27,"FM","a","2A","CORSE SUD"
"RNE_0000161","ALFONSI","NICOLAS","M",1936-04-13,2020-03-16,"SENATEUR",2008-09-21,2014-09-27,"FM","a","2A","CORSE SUD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000405","BIARNES","PIERRE","M",1932-01-17,NA,"SENATEUR",1989-09-24,1998-09-26,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
"RNE_0000405","BIARNES","PIERRE","M",1932-01-17,NA,"SENATEUR",1989-09-24,1998-09-26,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000405","BIARNES","PIERRE","M",1932-01-17,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_0000405","BIARNES","PIERRE","M",1932-01-17,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000406","BRISEPIERRE","PAULETTE","F",1917-04-21,2012-07-07,"SENATEUR",1989-09-24,1998-09-26,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
"RNE_0000406","BRISEPIERRE","PAULETTE","F",1917-04-21,2012-07-07,"SENATEUR",1989-09-24,1998-09-26,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000406","BRISEPIERRE","PAULETTE","F",1917-04-21,2012-07-07,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_0000406","BRISEPIERRE","PAULETTE","F",1917-04-21,2012-07-07,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1977-03-04,1983-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1977-03-04,1983-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1983-09-25,1992-09-26,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1983-09-25,1992-09-26,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1992-09-27,2001-09-22,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",1992-09-27,2001-09-22,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",2011-09-25,2017-09-23,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000407","CANTEGRIT","JEAN PIERRE","M",1933-07-02,NA,"SENATEUR",2011-09-25,2017-09-20,NA,"b","ETR_B","FRANCAIS DE L ETRANGER 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000408","CERISIER BEN GUIGA","MONIQUE","F",1942-06-20,NA,"SENATEUR",1992-09-27,2001-09-22,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000408","CERISIER BEN GUIGA","MONIQUE","F",1942-06-20,NA,"SENATEUR",1992-09-27,2001-09-22,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000408","CERISIER BEN GUIGA","MONIQUE","F",1942-06-20,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000408","CERISIER BEN GUIGA","MONIQUE","F",1942-06-20,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000409","DEL PICCHIA","ROBERT","M",1942-11-10,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_0000409","DEL PICCHIA","ROBERT","M",1942-11-10,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000411","DUVERNOIS","LOUIS","M",1941-05-17,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
"RNE_0000411","DUVERNOIS","LOUIS","M",1941-05-17,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000411","DUVERNOIS","LOUIS","M",1941-05-17,NA,"SENATEUR",2011-09-25,2017-09-23,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_0000411","DUVERNOIS","LOUIS","M",1941-05-17,NA,"SENATEUR",2011-09-25,2017-09-20,NA,"c1","ETR_C","FRANCAIS DE L ETRANGER 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000412","FERRAND","ANDRE","M",1936-02-22,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_0000412","FERRAND","ANDRE","M",1936-02-22,NA,"SENATEUR",1998-09-27,2008-09-20,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000412","FERRAND","ANDRE","M",1936-02-22,NA,"SENATEUR",2008-09-21,2014-09-27,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_0000412","FERRAND","ANDRE","M",1936-02-22,NA,"SENATEUR",2008-09-21,2014-09-20,NA,"a","ETR_A","FRANCAIS DE L ETRANGER A"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000413","GUERRY","MICHEL","M",1932-12-02,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
"RNE_0000413","GUERRY","MICHEL","M",1932-12-02,NA,"SENATEUR",2001-09-23,2011-09-24,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000414","COINTAT","CHRISTIAN","M",1943-07-11,NA,"SENATEUR",2001-10-10,2004-09-25,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_0000414","COINTAT","CHRISTIAN","M",1943-07-11,NA,"SENATEUR",2001-10-10,2004-09-25,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000414","COINTAT","CHRISTIAN","M",1943-07-11,NA,"SENATEUR",2004-09-26,2014-09-27,"FM","c2","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_0000414","COINTAT","CHRISTIAN","M",1943-07-11,NA,"SENATEUR",2004-09-26,2014-09-20,NA,"c1","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000415","PENNE","GUY","M",1925-06-09,NA,"SENATEUR",1986-09-28,1995-09-23,"FM","c2","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_0000415","PENNE","GUY","M",1925-06-09,NA,"SENATEUR",1986-09-28,1995-09-23,"FM","c2","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0000415","PENNE","GUY","M",1925-06-09,NA,"SENATEUR",1995-09-24,2004-09-25,"NE SE REPRESENTE PAS","c2","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_0000415","PENNE","GUY","M",1925-06-09,NA,"SENATEUR",1995-09-24,2004-09-25,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0007653","VENDASI","FRANCOIS","M",1940-06-24,NA,"SENATEUR",2008-09-21,2014-09-27,"FM","a","2B","HAUTE CORSE"
"RNE_0007653","VENDASI","FRANCOIS","M",1940-06-24,NA,"SENATEUR",2008-09-21,2014-09-27,"FM","a","2B","HAUTE CORSE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0008740","MOTRONI","JEAN BAPTISTE","M",1934-11-10,NA,"SENATEUR",1997-03-08,1998-09-26,"NON REELU","a","2B","HAUTE CORSE"
"RNE_0008740","MOTRONI","JEAN BAPTISTE","M",1934-11-10,NA,"SENATEUR",1997-03-08,1998-09-26,"FM","a","2B","HAUTE CORSE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0008944","CASTELLI","JOSEPH","M",1948-06-04,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"a","2B","HAUTE CORSE"
"RNE_0008944","CASTELLI","JOSEPH","M",1948-06-04,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"a","2B","HAUTE CORSE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0044518","LEYZOUR","FELIX","M",1932-07-22,NA,"SENATEUR",1989-09-24,1997-06-12,"elu depute","a","22","COTES D ARMOR"
"RNE_0044518","LEYZOUR","FELIX","M",1932-07-22,NA,"SENATEUR",1989-09-24,1997-06-12,"ELU DEPUTE","a","22","COTES DU NORD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0067137","PANUNZI","JEAN JACQUES","M",1956-04-05,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"a","2A","CORSE SUD"
"RNE_0067137","PANUNZI","JEAN JACQUES","M",1956-04-05,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"a","2A","CORSE SUD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0156948","DEROCHE HERVE","CATHERINE","F",1953-02-24,NA,"SENATEUR",2010-10-12,2011-09-24,"FM","b","49","MAINE ET LOIRE"
"RNE_0156948","DEROCHE HERVE","CATHERINE","F",1953-02-24,NA,"SENATEUR",2010-10-12,2011-09-24,"FM","b","49","MAINE ET LOIRE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0837970","KAMMERMANN","CHRISTIANE","F",1932-07-10,NA,"SENATEUR",2004-09-26,2011-09-24,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_0837970","KAMMERMANN","CHRISTIANE","F",1932-07-10,NA,"SENATEUR",2004-09-26,2011-09-24,"FM","c2","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0837970","KAMMERMANN","CHRISTIANE","F",1932-07-10,NA,"SENATEUR",2011-09-25,2017-09-23,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_0837970","KAMMERMANN","CHRISTIANE","F",1932-07-10,NA,"SENATEUR",2011-09-25,2017-09-20,NA,"c1","ETR_C","FRANCAIS DE L ETRANGER 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_0837971","YUNG","RICHARD","M",1947-09-22,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"c2","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_0837971","YUNG","RICHARD","M",1947-09-22,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"c2","ETR_C","FRANCAIS DE L ETRANGER 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_1174431","LEPAGE","CLAUDINE","F",1949-08-10,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"a","ETR_A","FRANCAIS DE L ETRANGER"
"RNE_1174431","LEPAGE","CLAUDINE","F",1949-08-10,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"c2","ETR_C","FRANCAIS DE L ETRANGER 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_1174478","GARRIAUD MAYLAM","JOELLE","F",1955-03-20,NA,"SENATEUR",2004-09-26,2011-09-24,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_1174478","GARRIAUD MAYLAM","JOELLE","F",1955-03-20,NA,"SENATEUR",2004-09-26,2011-09-24,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_1192379","ANGO ELA","KALLIOPI","F",1962-09-24,NA,"SENATEUR",2012-07-22,2014-05-02,"AU","b","ETR_B","FRANCAIS DE L ETRANGER"
"RNE_1192379","ANGO ELA","KALLIOPI","F",1962-09-24,NA,"SENATEUR",2012-07-22,2014-05-03,"Retour du titulaire","b","ETR_B","FRANCAIS DE L ETRANGER 1"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNE_1502895","CADIC","OLIVIER","M",1962-04-22,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"c2","ETR_C","FRANCAIS DE L ETRANGER"
"RNE_1502895","CADIC","OLIVIER","M",1962-04-22,NA,"SENATEUR",2014-09-28,2023-03-24,NA,"a","ETR_A","FRANCAIS DE L ETRANGER 2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000002","BARRACHIN","EDMOND","M",1900-01-12,1975-11-08,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","75","SEINE"
"SEN_0000002","BARRACHIN","EDMOND","M",1900-01-12,1975-11-08,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","92","HAUTS DE SEINE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000003","CARRIER","MAURICE","M",1900-01-15,1981-11-30,"SENATEUR",1959-04-26,1965-09-25,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
"SEN_0000003","CARRIER","MAURICE","M",1900-01-15,1981-11-30,"SENATEUR",1959-04-26,1965-09-25,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000003","CARRIER","MAURICE","M",1900-01-15,1981-11-30,"SENATEUR",1965-09-26,1974-09-21,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"SEN_0000003","CARRIER","MAURICE","M",1900-01-15,1981-11-30,"SENATEUR",1965-09-26,1974-09-21,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000016","DE BAGNEUX","JEAN","M",1900-07-17,1983-10-26,"SENATEUR",1959-04-26,1962-09-22,"FM","a","22","COTES D ARMOR"
"SEN_0000016","DE BAGNEUX","JEAN","M",1900-07-17,1983-10-26,"SENATEUR",1959-04-26,1962-09-22,"FM","a","22","COTES DU NORD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000016","DE BAGNEUX","JEAN","M",1900-07-17,1983-10-26,"SENATEUR",1962-09-23,1971-09-25,"FM","a","22","COTES DU NORD"
"SEN_0000016","DE BAGNEUX","JEAN","M",1900-07-17,1983-10-26,"SENATEUR",1962-09-23,1971-09-25,"FM","a","22","COTES D ARMOR"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000016","DE BAGNEUX","JEAN","M",1900-07-17,1983-10-26,"SENATEUR",1971-09-26,1980-09-27,"FM","a","22","COTES D ARMOR"
"SEN_0000016","DE BAGNEUX","JEAN","M",1900-07-17,1983-10-26,"SENATEUR",1971-09-26,1980-09-27,"NE SE REPRESENTE PAS","a","22","COTES DU NORD"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000017","LONGCHAMBON","HENRI","M",NA,1969-03-20,"SENATEUR",1959-04-26,1962-09-22,"FM","a","ETR_A","FRANCAIS DE L ETRANGER A"
"SEN_0000017","LONGCHAMBON","HENRI","M",NA,1969-03-20,"SENATEUR",1959-04-26,1962-09-22,"FM","a","ETR_A","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000017","LONGCHAMBON","HENRI","M",NA,1969-03-20,"SENATEUR",1962-09-23,1969-03-20,"Deces","a","ETR_A","FRANCAIS DE L ETRANGER A"
"SEN_0000017","LONGCHAMBON","HENRI","M",NA,1969-03-20,"SENATEUR",1962-09-23,1969-03-20,"DECEDE","a","ETR_A","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000037","ARMENGAUD","ANDRE","M",1901-01-10,1974-03-11,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER"
"SEN_0000037","ARMENGAUD","ANDRE","M",1901-01-10,1974-03-11,"SENATEUR",1959-04-26,1968-09-21,"FM","c2","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000037","ARMENGAUD","ANDRE","M",1901-01-10,1974-03-11,"SENATEUR",1968-09-22,1974-03-11,"DECEDE","c2","ETR_C","FRANCAIS DE L ETRANGER"
"SEN_0000037","ARMENGAUD","ANDRE","M",1901-01-10,1974-03-11,"SENATEUR",1968-09-22,1974-03-11,"Deces","c1","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000046","FLEURY","JEAN","M",1901-07-08,1985-10-20,"SENATEUR",1962-05-16,1968-09-21,"FM","c1","75","SEINE"
"SEN_0000046","FLEURY","JEAN","M",1901-07-08,1985-10-20,"SENATEUR",1962-05-16,1968-09-21,"FM","c1","92","HAUTS DE SEINE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000058","COGNIOT","GEORGES","M",1901-12-15,1978-03-12,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","75","SEINE"
"SEN_0000058","COGNIOT","GEORGES","M",1901-12-15,1978-03-12,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","75","PARIS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000067","GROS","LOUIS","M",1902-05-18,1984-10-08,"SENATEUR",1959-04-26,1965-09-25,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"SEN_0000067","GROS","LOUIS","M",1902-05-18,1984-10-08,"SENATEUR",1959-04-26,1965-09-25,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000067","GROS","LOUIS","M",1902-05-18,1984-10-08,"SENATEUR",1965-09-26,1974-09-21,"FM","b","ETR_B","FRANCAIS DE L ETRANGER"
"SEN_0000067","GROS","LOUIS","M",1902-05-18,1984-10-08,"SENATEUR",1965-09-26,1974-09-21,"FM","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000067","GROS","LOUIS","M",1902-05-18,1984-10-08,"SENATEUR",1974-09-22,1977-03-04,"NOMME MEMBRE CC","b","ETR_B","FRANCAIS DE L ETRANGER"
"SEN_0000067","GROS","LOUIS","M",1902-05-18,1984-10-08,"SENATEUR",1974-09-22,1977-03-04,"Nomme au Conseil constitutionnel","b","ETR_B","FRANCAIS DE L ETRANGER B"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000081","BOSSUS","RAYMOND","M",1903-07-25,1981-02-06,"SENATEUR",1962-11-01,1968-09-21,"FM","c1","75","PARIS"
"SEN_0000081","BOSSUS","RAYMOND","M",1903-07-25,1981-02-06,"SENATEUR",1962-11-01,1968-09-21,"FM","c1","75","SEINE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000092","GUYOT","RAYMOND","M",1903-11-17,1986-04-17,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","75","SEINE"
"SEN_0000092","GUYOT","RAYMOND","M",1903-11-17,1986-04-17,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","75","PARIS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000116","BAYROU","MAURICE","M",1905-03-02,1996-12-29,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","75","PARIS"
"SEN_0000116","BAYROU","MAURICE","M",1905-03-02,1996-12-29,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","75","SEINE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000136","MARZIN","PIERRE","M",1905-10-24,1994-08-02,"SENATEUR",1971-09-26,1980-09-27,"NE SE REPRESENTE PAS","a","22","COTES DU NORD"
"SEN_0000136","MARZIN","PIERRE","M",1905-10-24,1994-08-02,"SENATEUR",1971-09-26,1980-09-27,"FM","a","22","COTES D ARMOR"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000145","MOTAIS DE NARBONNE","LEON","M",1906-06-21,1971-08-10,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","ETR_C","FRANCAIS DE L ETRANGER C"
"SEN_0000145","MOTAIS DE NARBONNE","LEON","M",1906-06-21,1971-08-10,"SENATEUR",1959-04-26,1968-09-21,"FM","c2","ETR_C","FRANCAIS DE L ETRANGER"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000145","MOTAIS DE NARBONNE","LEON","M",1906-06-21,1971-08-10,"SENATEUR",1968-09-22,1971-08-10,"DECEDE","c1","ETR_C","FRANCAIS DE L ETRANGER"
"SEN_0000145","MOTAIS DE NARBONNE","LEON","M",1906-06-21,1971-08-10,"SENATEUR",1968-09-22,1971-08-10,"Deces","c2","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000172","ROSSELLI","JACQUES","M",1907-11-15,1974-02-04,"SENATEUR",1971-08-11,1974-02-04,"DECEDE","c1","ETR_C","FRANCAIS DE L ETRANGER"
"SEN_0000172","ROSSELLI","JACQUES","M",1907-11-15,1974-02-04,"SENATEUR",1971-08-11,1974-02-04,"Deces","c2","ETR_C","FRANCAIS DE L ETRANGER C"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000173","COUTROT","MAURICE","M",1907-12-03,1992-09-17,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","78","SEINE ET OISE"
"SEN_0000173","COUTROT","MAURICE","M",1907-12-03,1992-09-17,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","93","SEINE SAINT DENIS"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEN_0000187","NAMY","LOUIS","M",1908-06-14,1987-12-02,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","78","SEINE ET OISE"
"SEN_0000187","NAMY","LOUIS","M",1908-06-14,1987-12-02,"SENATEUR",1959-04-26,1968-09-21,"FM","c1","91","ESSONNE"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
