IdIndividu;IdEluRNEHisto;IdEluSenat;IdEluAssemblee;NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;NuancePolitique;IdTerritoire;NomTerritoire;TypeTerritoire;Sources
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;DEPUTE;18/11/1962;01/03/1967;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;DEPUTE;05/03/1967;20/06/1968;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;DEPUTE;23/06/1968;01/03/1973;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;DEPUTE;04/03/1973;10/03/1978;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;DEPUTE;19/06/2002;20/06/2007;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;DEPUTE;02/04/1993;21/04/1997;NA;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;DEPUTE;23/06/1988;01/04/1993;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;DEPUTE;02/04/1986;20/09/1986;GOUVERNEMENT;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;DEPUTE;03/04/1978;22/05/1981;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;DEPUTE;17/06/2007;10/06/2012;FM;NA;NA;NA;NA;UMP;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;DEPUTE;17/12/2012;10/06/2017;FM;NA;NA;NA;NA;UMP;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;DEPUTE;18/06/2017;10/06/2022;FM;NA;NA;NA;NA;LR;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;DEPUTE;19/06/2022;NA;NA;NA;NA;NA;NA;LR;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ROBIN ;LOUIS;M;01/05/1923;DEPUTE;14/06/1981;10/03/1986;FM;NA;NA;NA;NA;NA;NA;1ERE CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;MERCIER;AMEDEE;M;02/12/1890;DEPUTE;30/11/1958;09/10/1962;FM;NA;NA;NA;NA;SFIO;NA;1ERE CIRCONSCRIPTION AIN;Departement;WIKIPEDIA
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;DEPUTE;04/03/1973;31/08/1976;DC;VP;04/03/1973;31/08/1976;DC;RI;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;DEPUTE;23/11/1958;15/11/1962;FM;NA;NA;NA;NA;IPAS;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;DEPUTE;18/11/1962;01/03/1967;FM;NA;NA;NA;NA;RI;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;CARRIER;MICHEL;M;02/10/1906;DEPUTE;23/07/1969;01/04/1973;FM;NA;NA;NA;NA;RI;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;CARRIER;MICHEL;M;02/10/1906;DEPUTE;31/08/1976;02/04/1978;FM;NA;NA;NA;NA;RI;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;DAUBIE;ROMAIN;M;05/05/1980;DEPUTE;19/06/2022;NA;NA;NA;NA;NA;NA;MoDEM;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
RNE_0106732;106732;NULL;PA1012;DE LA VERPILLIERE;CHARLES;M;31/05/1954;DEPUTE;10/06/2012;10/06/2017;FM;NA;NA;NA;NA;NA;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
RNE_0106732;106732;NULL;PA1012;DE LA VERPILLIERE;CHARLES;M;31/05/1954;DEPUTE;11/06/2017;20/06/2022;FM;NA;NA;NA;NA;NA;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;GUICHON;LUCIEN;M;09/02/1932;DEPUTE;16/03/1986;01/06/1988;FM;NA;NA;NA;NA;RPR;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;GUICHON;LUCIEN;M;09/02/1932;DEPUTE;05/06/1988;15/03/1993;FM;NA;NA;NA;NA;RPR;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;GUICHON;LUCIEN;M;09/02/1932;DEPUTE;21/03/1993;20/05/1997;FM;NA;NA;NA;NA;RPR;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;GUICHON;LUCIEN;M;09/02/1932;DEPUTE;25/05/1997;01/06/2002;FM;NA;NA;NA;NA;RPR;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;GUICHON;LUCIEN;M;09/02/1932;DEPUTE;18/06/2002;20/06/2007;FM;NA;NA;NA;NA;UMP;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;DEPUTE;16/03/1986;01/06/1988;FM;VP;04/04/1986;14/05/1988;FM;UDF;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;DEPUTE;12/03/1978;10/06/1981;FM;NA;NA;NA;NA;UDF;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;DEPUTE;14/06/1981;10/03/1986;FM;NA;NA;NA;NA;UDF;NA;2EME CIRCONSCRIPTION DE L'AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ARMAND;GERARD;M;09/07/1941;DEPUTE;18/06/1995;21/04/1997;FM;NA;NA;NA;NA;NA;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
SEN_058913V;NULL;58913V;NULL;DE LA VERPILLIERE;GUY;M;09/08/1922;DEPUTE;05/03/1967;20/06/1968;FM;NA;NA;NA;NA;NA;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
SEN_058913V;NULL;58913V;NULL;DE LA VERPILLIERE;GUY;M;09/08/1922;DEPUTE;23/06/1968;01/03/1973;FM;NA;NA;NA;NA;NA;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
SEN_058913V;NULL;58913V;NULL;DE LA VERPILLIERE;GUY;M;09/08/1922;DEPUTE;03/03/1973;10/03/1978;FM;NA;NA;NA;NA;NA;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
SEN_058913V;NULL;58913V;NULL;DE LA VERPILLIERE;GUY;M;09/08/1922;DEPUTE;12/03/1978;01/01/1980;AU;NA;NA;NA;NA;NA;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;DUBUIS;EMILE;M;20/03/1911;DEPUTE;23/11/1958;10/11/1962;FM;NA;NA;NA;NA;MRP;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;DUBUIS;EMILE;M;20/03/1911;DEPUTE;18/11/1962;01/03/1967;FM;NA;NA;NA;NA;MRP;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;GIVERNET;OLGA;F;17/10/1981;DEPUTE;18/06/2017;20/06/2022;FM;NA;NA;NA;NA;LREM;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;GIVERNET;OLGA;F;17/10/1981;DEPUTE;21/06/2022;NA;NA;NA;NA;NA;NA;LREM;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;DEPUTE;18/05/1995;12/06/1997;FM;NA;NA;NA;NA;UDF;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;DEPUTE;05/06/1988;15/03/1993;FM;NA;NA;NA;NA;UDF;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;DEPUTE;21/03/1993;18/06/1995;MINISTRE;NA;NA;NA;NA;UDF;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;DEPUTE;30/11/1980;22/05/1981;FM;NA;NA;NA;NA;PS;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;ARCHIVES
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;DEPUTE;21/06/1981;01/04/1986;FM;NA;NA;NA;NA;PS;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;ARCHIVES
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;DEPUTE;16/03/1986;14/05/1988;FM;NA;NA;NA;NA;PS;NA;3EME CIRCONSCRIPTION AIN;Circonscription legislative;ARCHIVES
;NA;NA;NA;TROMPILLE;STEPHANE;M;01/12/1982;DEPUTE;18/06/2017;20/06/2022;FM;NA;NA;NA;NA;LREM;NA;4e CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BUISSON;JEROME;M;15/01/1973;DEPUTE;22/06/2022;NA;NA;NA;NA;NA;NA;RN;NA;4EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;DEPUTE;05/06/1988;15/03/1993;FM;NA;NA;NA;NA;UDF;NA;4EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;DEPUTE;21/03/1993;20/05/1997;FM;NA;NA;NA;NA;UDF;NA;4EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;DEPUTE;25/05/1997;01/06/2002;FM;NA;NA;NA;NA;UDF;NA;4EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;DEPUTE;18/06/2002;20/06/2007;FM;NA;NA;NA;NA;UMP;NA;4EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;DEPUTE;20/06/2007;19/06/2012;FM;NA;NA;NA;NA;UMP;NA;4EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;VOISIN;MICHEL;M;06/10/1944;DEPUTE;20/06/2012;20/06/2017;FM;NA;NA;NA;NA;LR;NA;4EME CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ABAD;DAMIEN;M;05/04/1980;DEPUTE;17/06/2012;10/06/2017;FM;NA;NA;NA;NA;UMP;NA;5e CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ABAD;DAMIEN;M;05/04/1980;DEPUTE;18/06/2017;10/06/2022;FM;NA;NA;NA;NA;LR;NA;5e CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ABAD;DAMIEN;M;05/04/1980;DEPUTE;19/06/2022;NA;NA;NA;NA;NA;NA;LR;NA;5e CIRCONSCRIPTION AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;DEPUTE;17/06/1951;01/12/1955;FM;NA;NA;NA;NA;RI;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;DEPUTE;02/01/1956;01/11/1958;FM;NA;NA;NA;NA;IPAS;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BILLIEMAZ;AUGUSTE;M;29/08/1903;SENATEUR;26/04/1959;20/09/1962;FM;NA;NA;NA;NA;PRG;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BILLIEMAZ;AUGUSTE;M;29/08/1903;SENATEUR;23/09/1962;20/09/1971;FM;NA;NA;NA;NA;PRG;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BILLIEMAZ;AUGUSTE;M;29/08/1903;SENATEUR;26/09/1971;20/09/1980;FM;NA;NA;NA;NA;PRG;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BRAYARD;JOSEPH;M;31/03/1901;SENATEUR;26/04/1959;20/09/1962;FM;NA;NA;NA;NA;DVG;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;BRAYARD;JOSEPH;M;31/03/1901;SENATEUR;23/09/1962;20/09/1971;FM;NA;NA;NA;NA;DVG;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;PEPIN;JEAN;M;23/11/1939;SENATEUR;24/09/1989;20/09/1998;FM;NA;NA;NA;NA;NA;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;PEPIN;JEAN;M;23/11/1939;SENATEUR;27/09/1998;20/09/2008;FM;NA;NA;NA;NA;NA;NA;AIN;Circonscription legislative;WIKIPEDIA
SEN_058928D;NULL;58928D;NULL;RUET;ROLAND;M;29/10/1921;SENATEUR;26/09/1971;20/09/1980;FM;NA;NA;NA;NA;UDF;NA;AIN;Circonscription legislative;WIKIPEDIA
SEN_058928D;NULL;58928D;NULL;RUET;ROLAND;M;29/10/1921;SENATEUR;28/09/1980;20/09/1989;FM;NA;NA;NA;NA;UDF;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;SAINT PIERRE;DOMINIQUE;M;10/11/1940;DEPUTE;16/03/1986;14/05/1988;FM;NA;NA;NA;NA;PS;NA;AIN;Circonscription legislative;WIKIPEDIA
;NA;NA;NA;ABAD;DAMIEN;M;05/04/1980;CONSEILLER REGIONAL;21/03/2010;01/04/2015;FM;NA;NA;NA;NA;UMP;NA;AIN;Departement;WIKIPEDIA
RNE_0106690;106690;08059E;NULL;BERTHOU;JACQUES;M;03/03/1940;SENATEUR;01/10/2008;20/09/2014;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;CONSEILLER REGIONAL;22/03/1992;10/03/1998;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;CONSEILLER REGIONAL;15/03/1998;01/06/2002;DEPUTE;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
RNE_0000794;794;NULL;PA267075;BLANC;ETIENNE;M;29/08/1954;CONSEILLER REGIONAL;27/03/1992;10/03/1998;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
RNE_0000794;794;NULL;PA267075;BLANC;ETIENNE;M;29/08/1954;CONSEILLER REGIONAL;15/03/1998;22/07/2002;DEPUTE;VP;16/03/1998;11/12/1998;NA;UDF;NA;AIN;Departement;WIKIPEDIA
RNE_0000794;794;NULL;PA267075;BLANC;ETIENNE;M;29/08/1954;CONSEILLER REGIONAL;27/03/1992;10/03/1998;FM;NA;NA;NA;NA;UDF;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;BLATRIX CONTAT;FLORENCE;F;30/03/1966;SENATEUR;27/09/2020;NA;NA;NA;NA;NA;NA;PS;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;CONSEILLER REGIONAL;04/01/2016;20/06/2021;FM;NA;NA;NA;NA;LR;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;CONSEILLER REGIONAL;27/06/2021;NA;NA;NA;NA;NA;NA;LR;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;BUISSON;JEROME;M;15/01/1973;CONSEILLER REGIONAL;27/06/2021;NA;NA;NA;NA;NA;NA;RN;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;CHAIZE;PATRICK;M;22/03/1963;SENATEUR;01/10/2014;30/09/2020;FM;NA;NA;NA;NA;LR;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;CHAIZE;PATRICK;M;22/03/1963;SENATEUR;01/10/2020;NA;NA;NA;NA;NA;NA;LR;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;DE LA VERPILLIERE;GUY;M;09/08/1922;SENATEUR;28/09/1980;20/09/1989;FM;NA;NA;NA;NA;CD;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;EMIN;JEAN-PAUL;M;17/09/1939;SENATEUR;24/09/1989;20/09/1998;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;EMIN;JEAN-PAUL;M;17/09/1939;SENATEUR;27/09/1998;20/09/2008;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;EMIN;JEAN-PAUL;M;17/06/1939;CONSEILLER DEPARTEMENTAL;NA;NA;NA;VP;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;GIVERNET;OLGA;F;17/10/1981;CONSEILLER REGIONAL;18/12/2015;01/07/2021;FM;NA;NA;NA;NA;MoDEM;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;SENATEUR;21/09/2008;20/09/2014;FM;NA;NA;NA;NA;NA;UMP;AIN;Departement;WIKIPEDIA
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;SENATEUR;28/09/2014;20/09/2020;FM;NA;NA;NA;NA;NA;UMP;AIN;Departement;WIKIPEDIA
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;SENATEUR;27/09/2020;NA;NA;NA;NA;NA;NA;NA;LR;AIN;Departement;WIKIPEDIA
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;CONSEILLER REGIONAL;13/12/2015;20/06/2021;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;CONSEILLER REGIONAL;15/03/1998;15/03/2004;FM;NA;NA;NA;NA;PS;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;SENATEUR;01/10/2014;30/09/2020;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;SENATEUR;01/10/2008;30/09/2014;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;CONSEILLER REGIONAL;16/03/1986;20/03/1992;FM;P;27/10/1988;20/03/1992;FM;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;CONSEILLER REGIONAL;22/03/1992;10/03/1998;FM;P;22/03/1992;10/03/1998;FM;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;CONSEILLER REGIONAL;15/03/1998;01/01/2003;NA;P;15/03/1998;03/01/1999;NA;UDF;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;MORETEAU;JEAN;M;23/06/1942;CONSEILLER REGIONAL;16/03/1986;20/03/1992;FM;NA;NA;NA;NA;NA;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;CONSEILLER REGIONAL;15/03/1998;15/03/2004;FM;NA;NA;NA;NA;PS;NA;AIN;Departement;ARCHIVES
;NA;NA;NA;SAINT PIERRE;DOMINIQUE;M;10/11/1940;CONSEILLER REGIONAL;16/03/1986;15/03/1992;FM;NA;NA;NA;NA;PS;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;SAINT PIERRE;DOMINIQUE;M;10/11/1940;CONSEILLER REGIONAL;22/03/1992;10/03/1998;FM;NA;NA;NA;NA;ARE;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;SAINT PIERRE;DOMINIQUE;M;10/11/1940;CONSEILLER REGIONAL;15/03/1998;15/03/2004;FM;NA;NA;NA;NA;ARE;NA;AIN;Departement;WIKIPEDIA
;NA;NA;NA;COMBIER;PAUL;M;01/01/1933;CONSEILLER DEPARTEMENTAL;07/03/1976;10/03/1982;FM;VP;07/03/1976;10/03/1982;FM;SOC;NA;AMBERIEU EN BUGEY;Canton;ARCHIVES
;NA;NA;NA;COMBIER;PAUL;M;01/01/1933;CONSEILLER DEPARTEMENTAL;07/03/1976;10/03/1982;FM;NA;NA;NA;NA;NA;NA;AMBERIEU EN BUGEY;Canton;WIKIPEDIA
;NA;NA;NA;PIRALLA;GILLES;M;05/10/1949;CONSEILLER DEPARTEMENTAL;20/03/1994;10/03/2001;FM;NA;NA;NA;NA;RPR;NA;AMBERIEU EN BUGEY;Canton;WIKIPEDIA
;NA;NA;NA;TOURNIER BILLION;LEON;M;02/04/1899;CONSEILLER DEPARTEMENTAL;20/04/1958;05/03/1964;FM;NA;NA;NA;NA;NA;NA;AMBERIEU EN BUGEY;Canton;ARCHIVES
;NA;NA;NA;TOURNIER BILLION;LEON;M;02/04/1899;CONSEILLER DEPARTEMENTAL;08/03/1964;20/09/1970;FM;NA;NA;NA;NA;NA;NA;AMBERIEU EN BUGEY;Canton;ARCHIVES
;NA;NA;NA;TOURNIER BILLION;LEON;M;02/04/1899;CONSEILLER DEPARTEMENTAL;23/03/1970;05/03/1976;FM;NA;NA;NA;NA;NA;NA;AMBERIEU EN BUGEY;Canton;ARCHIVES
;NA;NA;NA;BOLLIET;GILLES;M;NA;CONSEILLER MUNICIPAL;01/01/1992;10/06/1995;FM;M;01/01/1992;10/06/1995;FM;DVD;NA;AMBERIEU EN BUGEY;Commune;WIKIPEDIA
;NA;NA;NA;BUY;ANTOINE;M;22/08/1907;CONSEILLER MUNICIPAL;14/03/1971;10/03/1977;FM;M;14/03/1971;10/03/1977;FM;DVG;NA;AMBERIEU EN BUGEY;Commune;ARCHIVES
;NA;NA;NA;BUY;ANTOINE;M;22/08/1907;CONSEILLER MUNICIPAL;14/03/1965;10/03/1971;FM;NA;NA;NA;NA;NA;NA;AMBERIEU EN BUGEY;Commune;ARCHIVES
